article,actual_time,expected_median,expected_mean,expected_trimmed_mean,expected_geometric_mean,expected_interquartile_mean
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,13.36,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,10.15,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,16.92,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,27.87,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,25.92,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,29.53,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,111.82,28.44,26.76,26.76,19.670471265096413,19.53
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,19.35,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,30.26,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,7.65,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,17.85,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,14.32,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,15.22,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,114.09,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,21.35,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,101.91,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,8.35,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
